Data,Dia,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
22/02/2021,37,1152,5174,5374,1156,24946,10956,506,7909,9392,5457,19644,2907,225,4849,5092,10967,2807,11601,18113,5267,2982,208,16589,4204,1857,4857,3078
23/02/2021,38,788,453,5541,761,18972,9692,5015,8541,7092,5605,14803,3693,238,7034,4678,11144,2464,10407,21089,3865,2861,1347,15264,4117,1816,40876,2321
24/02/2021,39,756,3475,5158,672,9992,7819,5131,8632,9066,4301,13363,3045,2234,7447,4628,8831,2126,8034,18503,3029,3043,1093,10466,3641,1947,35227,2696
25/02/2021,40,2175,3908,4125,971,16765,11976,4911,6914,6221,61,13762,2363,2306,6795,3709,10607,2107,6426,33677,2699,1797,1159,10157,3958,1102,31694,1961
26/02/2021,41,3657,3534,8062,965,27582,18151,14333,75,18065,5836,18848,2472,2132,563,2579,16464,2827,13218,36987,2553,1045,1217,2247,10527,999,50097,1689
27/02/2021,42,1246,35,6076,100,16117,7881,13,2881,8534,3796,7061,477,292,2256,2399,663,218,7787,31119,228,385,1094,16536,1141,87,101916,795
28/02/2021,43,365,11,1122,6,8584,507,15,134,3631,1195,3341,955,263,1167,1058,5362,1026,1967,280,61,245,702,3141,2734,6,18841,20
01/03/2021,44,1647,5217,12636,383,25873,25072,12687,6416,15497,7731,21613,4659,1591,6802,6883,17435,341,22416,36888,6706,1013,161,28214,13298,874,240586,991
02/03/2021,45,2529,5928,15428,439,29326,21827,6864,10501,13858,11883,28648,6505,2963,1692,11378,21029,4825,25485,29999,8072,1894,1767,34202,14566,7694,205315,2253
03/03/2021,46,1961,5929,18703,1156,25444,21306,344,12329,13177,13471,5512,6029,3793,14698,13038,20486,529,24079,28506,11126,2264,2433,26107,14501,7474,287446,2665
04/03/2021,47,2436,5766,17208,842,34774,21712,7425,8326,13645,14097,61552,7085,5545,11232,1246,20016,478,20888,45444,9021,1939,146,19929,1347,11092,15953,2509
05/03/2021,48,1758,4923,18573,1807,32209,20182,6807,7979,1349,12147,52107,7294,576,19998,13704,19304,6299,24139,43445,576,1998,1123,23628,1937,1077,150901,1392
06/03/2021,49,216,552,9694,164,13014,13148,381,4121,209,3311,20092,2857,3489,23689,218,91,4337,13398,10512,690,418,144,5441,16653,3335,79001,700
07/03/2021,50,78,22,414,30,3153,7633,5,4,220,1081,2449,552,221,131,165,6913,94,1418,241,56,135,426,744,1739,882,12646,22
08/03/2021,51,256,4149,7352,955,34776,20699,2646,6165,13584,10979,37053,48,4778,21666,13084,16184,5543,29221,47649,6431,1165,200,18154,11743,4839,129588,1004
09/03/2021,52,1073,4318,7289,1176,37617,22015,3354,6157,7453,9471,47124,5695,5547,6326,13504,16027,7075,24847,30121,7751,2061,104,219,12211,9001,108071,1732
10/03/2021,53,166,4446,9724,1484,33693,23285,2653,6442,12153,12306,56144,5869,4435,10174,16438,14983,6504,19305,48834,10249,2322,962,37082,10497,5167,95941,2063
11/03/2021,54,2195,664,11367,164,45956,21767,8682,6739,13959,10425,58702,8741,4314,8163,15307,17758,5972,17578,40702,8171,349,921,34881,9283,3244,93821,2807
12/03/2021,55,1062,581,10601,2011,46569,17905,4095,7215,12825,8012,37869,9797,5445,5835,14132,17232,6732,29517,37254,4167,3482,762,57167,18313,5201,101229,2518
13/03/2021,56,168,1931,7733,1558,20923,6245,216,7249,1966,1912,7992,3977,1921,216,4146,7991,171,9535,10026,620,1084,758,38391,1047,1208,4826,565
14/03/2021,57,52,555,345,20,5781,263,32,9,330,100,966,556,86,307,3183,6618,166,1658,182,1336,157,284,4854,1261,29,8921,7
15/03/2021,58,804,4207,11406,587,34862,15227,2139,58,17025,6877,23768,6276,4951,5179,1178,17178,4289,26176,36194,8986,2478,188,42767,1152,4521,225358,236
16/03/2021,59,1297,5595,8447,693,30339,13711,3172,6892,11888,8049,54197,4986,4669,9236,10215,1643,5555,22567,37685,8478,1641,741,36,8587,27,110658,2612
17/03/2021,60,122,7482,11448,849,34521,14787,2192,6625,7597,11571,4862,5021,4745,45,11745,14243,5015,15064,21151,7504,3278,575,36479,6212,958,80814,1885
18/03/2021,61,2008,8392,7367,1474,63592,1751,1706,625,13055,12672,45869,6139,426,4247,8359,21988,2058,13686,41655,57,2566,508,25995,5485,909,95813,583
19/03/2021,62,848,10944,11694,161,55215,10228,6395,12282,17044,8575,3597,12555,3583,1398,10325,19696,4884,24284,37238,4344,2409,675,58243,2458,5328,344224,3126
20/03/2021,63,83,5736,8011,115,22715,13601,675,12345,39,2463,5851,6386,3427,24261,6306,9998,416,21451,12083,2237,1481,2494,51986,49952,1651,107355,268
21/03/2021,64,67,1953,408,21,12082,7125,497,161,527,317,583,1391,185,10495,5226,4039,418,1833,1188,798,233,117,2551,15002,92,1211,39
22/03/2021,65,1154,11082,4358,3122,77245,3556,21052,6793,24221,13619,38765,13603,4749,13186,24754,35046,6509,30403,49326,8381,186,505,5184,22027,7417,154928,2545
23/03/2021,66,1024,1589,4139,4321,94538,53219,16291,13804,3562,23348,82508,19838,7262,32936,39854,4361,15884,3865,49577,14499,4282,1426,47621,36084,8263,10328,1944
24/03/2021,67,2102,1977,364,4552,77214,5571,5632,22754,48504,22267,111774,18517,6343,45906,28831,48786,19818,62872,69996,20982,5015,2026,84032,41398,13699,160315,2438
25/03/2021,68,4305,19306,3042,4992,67549,6313,3268,26912,44865,20964,10632,17521,7644,47235,24459,4563,26247,73094,7063,25263,5368,1169,80024,35126,13648,166008,9708
26/03/2021,69,3328,16096,345,1763,51428,31201,26298,22579,27074,10503,119928,8721,8509,46141,20224,39492,13654,62006,6649,18701,3715,931,72491,29785,12318,296622,11421
27/03/2021,70,423,11554,2194,476,5182,27569,9427,26124,1042,9231,109611,15394,10466,3021,20395,21462,6863,839,49449,10868,339,813,754,29771,3935,99363,7002
28/03/2021,71,1235,5623,728,550,30501,20983,735,2998,292,2101,13257,4182,158,22205,8803,10542,548,45407,7455,7007,2657,1966,693,8319,2184,11045,260
29/03/2021,72,3152,14728,5817,1643,99172,38456,10878,13871,32304,26784,12698,10489,5546,43235,2391,52572,20169,75434,93724,25566,3229,46,85069,25059,10404,165976,5882
