UF,Data,Quantidade
AL,20/04/2021,12484
AL,21/04/2021,6939
AL,22/04/2021,13057
AL,23/04/2021,9122
AL,24/04/2021,9192
AL,25/04/2021,2399
AL,26/04/2021,4825
AL,27/04/2021,6054
AL,28/04/2021,63
AL,29/04/2021,6462
AL,30/04/2021,4578
AL,01/05/2021,506
AL,02/05/2021,4382
AL,03/05/2021,7095
AL,04/05/2021,8213
AL,05/05/2021,11374
AL,06/05/2021,12053
AL,07/05/2021,11461
AL,08/05/2021,851
AL,09/05/2021,4147
AL,10/05/2021,10064
AL,11/05/2021,13575
AL,12/05/2021,14803
AL,13/05/2021,12775
AL,14/05/2021,12063
AL,15/05/2021,10242
AL,16/05/2021,6173
AL,17/05/2021,13144
AL,18/05/2021,17319
AL,19/05/2021,1759
AL,20/05/2021,1763
AL,21/05/2021,16939
AL,22/05/2021,8989
AL,23/05/2021,4375
AL,24/05/2021,13951
AL,25/05/2021,19184
AL,26/05/2021,17871
AL,27/05/2021,14203
AL,28/05/2021,14497
AL,29/05/2021,9558
AL,30/05/2021,4566
AL,31/05/2021,1012
AL,01/06/2021,11782
AL,02/06/2021,13822
AL,03/06/2021,6779
AL,04/06/2021,12812
AL,05/06/2021,11985
AL,06/06/2021,1993
AL,07/06/2021,9991
AL,08/06/2021,10668
AL,09/06/2021,10327
AL,10/06/2021,15891
AL,11/06/2021,15142
AL,12/06/2021,8706
AL,13/06/2021,1822
AL,14/06/2021,10976
AL,15/06/2021,13586
AL,16/06/2021,1283
AL,17/06/2021,11849
AL,18/06/2021,10422
AL,19/06/2021,10723
AL,20/06/2021,6323
AL,21/06/2021,12112
AL,22/06/2021,17683
AL,23/06/2021,14961
AL,24/06/2021,6954
AL,25/06/2021,8441
AM,17/01/2021,41
AM,18/01/2021,7
AM,19/01/2021,1771
AM,20/01/2021,8449
AM,21/01/2021,5748
AM,22/01/2021,6443
AM,23/01/2021,6254
AM,24/01/2021,3689
AM,25/01/2021,8919
AM,26/01/2021,6297
AM,27/01/2021,8045
AM,28/01/2021,6185
AM,29/01/2021,9243
AM,30/01/2021,7977
AM,31/01/2021,7987
AM,01/02/2021,12439
AM,02/02/2021,15765
AM,03/02/2021,15767
AM,04/02/2021,1022
AM,05/02/2021,9126
AM,06/02/2021,3492
AM,07/02/2021,576
AM,08/02/2021,18408
AM,09/02/2021,19847
AM,10/02/2021,13649
AM,11/02/2021,9287
AM,12/02/2021,8545
AM,13/02/2021,4588
AM,14/02/2021,157
AM,15/02/2021,7481
AM,16/02/2021,6144
AM,17/02/2021,903
AM,18/02/2021,7538
AM,19/02/2021,6413
AM,20/02/2021,3738
AM,21/02/2021,663
AM,22/02/2021,5374
AM,23/02/2021,5541
AM,24/02/2021,5158
AM,25/02/2021,4125
AM,26/02/2021,8062
AM,27/02/2021,6076
AM,28/02/2021,1122
AM,01/03/2021,12636
AM,02/03/2021,15428
AM,03/03/2021,18703
AM,04/03/2021,17208
AM,05/03/2021,18573
AM,06/03/2021,9694
